rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Lab LCP of 46.4 s on mobile,URGENT,Performance,Medium,2-5 days,5,10,yes,conversion,Measured in a lab load: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,Measured in a lab load: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 46.4 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_1_lab_lcp_46_4s_on_mobile.html
2,Competing primary CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,Multiple primary CTAs without hierarchy confuse the visitor about which action advances the funnel.,Multiple primary CTAs without hierarchy confuse the visitor about which action advances the funnel.,h1: Reliable Unlimited Internet That Works Anywhere in the U.S.; cta: CHECK COVERAGE; notes: Consolidate to one primary CTA; demote others.,"7 distinct calls to action compete on the same page: “CHECK COVERAGE”, “CHECK IF IT WORKS AT MY ADDRESS”, “SEE MY OPTIONS”, “GET STARTED”, “START CHAT”, “SEE WHAT I QUALIFY FOR”, “CHECK MY COVERAGE”.","Funnel Path, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_competing_primary_ctas.html
3,Headline omits unlimited promise,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline fails to mention unlimited data, weakening the core value proposition.","The hero headline fails to mention unlimited data, weakening the core value proposition.",h1: Reliable Unlimited Internet That Works Anywhere in the U.S.; notes: Add 'unlimited' to headline.,The page's main headline reads “Reliable Internet That Works Anywhere in the U.S”. | The page's main headline reads “Internet That Just Works”.,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_headline_omits_unlimited_promise.html
4,Lab CLS of 0.73 on mobile,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Measured in a lab load: the layout jumps while loading, causing mis-taps on the very buttons the funnel depends on.","Measured in a lab load: the layout jumps while loading, causing mis-taps on the very buttons the funnel depends on.",notes: Cumulative Layout Shift ≤ 0.1 (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Cumulative Layout Shift 0.73 against a ‘good’ threshold of 0.1. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_lab_cls_0_73_on_mobile.html
5,"Lab TBT of 1,140 ms on mobile",HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"Measured in a lab load: script work freezes the main thread, so taps and scrolls go dead during load.","Measured in a lab load: script work freezes the main thread, so taps and scrolls go dead during load.",notes: Total Blocking Time ≤ 200ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Total Blocking Time 1,140 ms against a ‘good’ threshold of 200ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_lab_tbt_1140ms_on_mobile.html
6,Review count and recency missing,MEDIUM,Homepage,Medium,2-5 days,5,10,no,trust,"Social proof lacks review count and recency, weakening credibility.","Social proof lacks review count and recency, weakening credibility.",notes: Display review count and date range.,A section heading reads “Real Stories from Real Users”. | A section heading reads “As Featured In:”.,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_review_count_and_recency_missing.html
7,Dead-end pricing page error,URGENT,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"The /pricing page returns an error, causing a dead end for users seeking pricing information.","The /pricing page returns an error, causing a dead end for users seeking pricing information.",notes: Fix or redirect to /plans.,,Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_7_dead_end_pricing_page_error.html
8,Funnel restarts on every page,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"The same qualification form appears on multiple pages, forcing users to re-enter the funnel regardless of landing point.","The same qualification form appears on multiple pages, forcing users to re-enter the funnel regardless of landing point.",h1: What Best Describes Your Time on the Road?; cta: CONTINUE; notes: Persist progress across pages.,The page's main headline reads “What Best Describes Your Time on the Road?”. | The page's main headline reads “How Do You Use the Internet at Home?”.,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_funnel_restarts_on_every_page.html
9,Multiple forms with identical submit,MEDIUM,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,Two forms with the same CONTINUE label create ambiguity about the current step.,Two forms with the same CONTINUE label create ambiguity about the current step.,cta: CHECK COVERAGE / SEE MY OPTIONS; notes: Differentiate labels or add step indicators.,,Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_multiple_forms_with_identical_submit.html
10,Value claims lack specifics,MEDIUM,Rural Internet Page,Medium,2-5 days,3,10,no,conversion,"The claim of being fastest lacks concrete speed or comparison figures, leaving the value proposition unsupported.","The claim of being fastest lacks concrete speed or comparison figures, leaving the value proposition unsupported.",notes: Add measurable speed or comparison.,A section heading reads “The Fastest Rural & On-the-Go Internet in the USA”. | A section heading reads “Nomad Internet: The Go-To For Rural Internet”.,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_value_claims_lack_specifics.html
